label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
SN,Glass,Jute,,Polyester,TS,S,VI,No,,Charpy,BS EN ISO 179,12.5,22.5,0.0,65.0,,,12,101.65,,,,3.08
SN,Carbon,Jute,,Polyester,TS,I,VI,No,,Charpy,BS EN ISO 179,16.0,20.0,0.0,64.0,,,12,223.46,,,,1.98
SN,Carbon,Jute,,Polyester,TS,S,VI,No,,Charpy,BS EN ISO 179,17.0,21.0,0.0,62.0,,,12,329.40,,,,1.81
SN,Carbon,Jute,,Polyester,TS,S,VI,No,,Charpy,BS EN ISO 179,17.0,22.0,0.0,61.0,,,12,145.47,,,,2.31
N,Jute,,,Epoxy,TP,,VI,No,,Drop weight,ISO 6603,30.0,0.0,0.0,70.0,4,2.24,10,,,80.00,,7.12
NN,Jute,Basalt,,Epoxy,TP,S,VI,No,,Drop weight,ISO 6603,12.0,18.0,0.0,70.0,4,2.24,10,,,160.00,,7.29
NN,Jute,Basalt,,Epoxy,TP,I,VI,No,,Drop weight,ISO 6603,12.0,18.0,0.0,70.0,4,2.24,10,,,100.00,,7.19
S,Glass,,,Polypropylene,TP,,Hot press molding,,,Drop weight,ASTM D7136,23.5,0.0,0.0,76.5,,,5,82.00,4.50,,,4.60
SN,Glass,Kenaf,,Polypropylene,TP,S,Hot press molding,,,Drop weight,ASTM D7136,15.7,7.0,0.0,77.3,,,5,72.00,3.50,,,3.60
SN,Glass,Kenaf,,Polypropylene,TP,S,Hot press molding,,,Drop weight,ASTM D7136,7.8,14.1,0.0,78.1,,,5,39.00,2.70,,,3.60
N,Kenaf,,,Polypropylene,TP,,Hot press molding,,,Drop weight,ASTM D7136,21.1,0.0,0.0,78.9,,,5,32.00,2.50,,,2.20
N,Banana,,,Polypropylene,TP,,Hot press molding,No,,Drop weight,ASTM D7136,24.4,0.0,0.0,75.6,10.121,4.5,102.48,38.55,0.41,55.59,1.67,7.00
SN,Glass,Banana,,Polypropylene,TP,S,Hot press molding,No,,Drop weight,ASTM D7136,7.7,15.3,0.0,77.0,10.121,4.5,102.48,75.87,0.49,57.15,2.29,10.72
SN,Glass,Banana,,Polypropylene,TP,S,Hot press molding,No,,Drop weight,ASTM D7136,12.9,6.5,0.0,80.7,10.121,4.5,102.48,136.28,3.61,65.32,3.12,20.20
S,Glass,,,Polypropylene,TP,,Hot press molding,,,Drop weight,ASTM D7136,18.9,0.0,0.0,81.1,10.121,4.5,102.48,190.66,5.45,66.98,4.50,38.28
S,Glass,,,Epoxy,TP,,VI,,,Drop weight,ASTM D7136,46.5,0.0,0.0,53.5,,,20,450.00,5.92,500.00,17.32,12.62
N,Jute,,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,26.9,0.0,0.0,73.1,,,20,70.40,1.39,84.00,1.39,3.18
N,Flax,,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,37.9,0.0,0.0,62.1,,,20,95.40,1.49,95.00,2.96,12.77
SN,Glass,Jute,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,23.9,13.5,0.0,62.6,,,20,239.00,3.01,348.00,14.16,14.25
SN,Glass,Jute,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,23.9,13.5,0.0,62.6,,,20,233.00,2.89,171.00,5.52,15.37
SN,Glass,Flax,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,30.5,13.7,0.0,55.8,,,20,372.00,3.42,418.00,17.68,13.52
SN,Glass,Flax,,Epoxy,TP,,VI,No,,Drop weight,ASTM D7136,30.0,13.7,0.0,56.3,,,20,358.00,3.43,258.00,6.46,13.77
